GeneID	padj	pvalue	log2FoldChange	stat	baseMean	Symbol	Description
440689	3.38831368311598e-46	2.07923029155375e-50	-4.89485127301515	222.92721264504	511.328762424425	H2BC18	H2B clustered histone 18
8970	1.66290033607026e-38	2.0408693373469e-42	-4.40673331510616	186.30085557062	370.527972554282	H2BC11	H2B clustered histone 11
8349	4.45667739835178e-38	8.20448711036778e-42	-4.11718738692747	183.533055266269	664.397009370041	H2BC21	H2B clustered histone 21
5016	3.48389380135259e-36	8.5515311766141e-40	-3.8634000324526	174.290962981668	730.627033415283	OVGP1	oviductal glycoprotein 1
8969	3.1894709352963e-35	9.78605466156204e-39	-4.11090721491792	169.443981381897	336.419607354774	H2AC11	H2A clustered histone 11
5971	8.01056797927077e-35	2.94939910871531e-38	-2.90655634188096	167.250404896707	1282.25407023152	RELB	RELB proto-oncogene, NF-kB subunit
57035	6.32305802820355e-34	2.71609021830049e-37	-2.934143875844	162.836481638372	2948.52615944963	RSRP1	arginine and serine rich protein 1
8358	5.50181957694592e-31	2.70094235490718e-34	-4.06561276355991	149.119062739291	463.831324201029	H3C2	H3 clustered histone 2
653604	5.72628530711783e-31	3.5139207824729e-34	-4.19656682332652	148.596265699446	213.023864902489	H3C13	H3 clustered histone 13
29946	5.72628530711783e-31	3.4720747075633e-34	-2.80253501738999	148.620067883249	1347.16528927671	SERTAD3	SERTA domain containing 3
3008	9.62545620724832e-30	6.49730107263939e-33	-3.29070720018776	142.801038984981	734.348001052444	H1-4	H1.4 linker histone, cluster member
26780	1.02249370520485e-29	7.52940872757623e-33	-4.23997302972362	142.50820462575	224.289510023178	SNORA68	small nucleolar RNA, H/ACA box 68
27113	1.42821183684552e-29	1.13934424883357e-32	-2.53161096352139	141.685472906573	993.905845050802	BBC3	BCL2 binding component 3
8348	1.49053216418453e-29	1.28052591424788e-32	-4.24191051038522	141.45345346504	194.681845642925	H2BC17	H2B clustered histone 17
8337	4.43721266594941e-27	4.0843268280094e-30	-2.98204558996879	130.006525716997	556.775036930582	H2AC18	H2A clustered histone 18
929	5.322682411615e-27	5.22600138597447e-30	-4.22996348157556	129.517261189378	198.83169696129	CD14	CD14 molecule
8347	6.18321480424388e-26	6.4503345405097e-29	-4.1374294728137	124.529793620867	262.784821433691	H2BC4	H2B clustered histone 4
723790	7.19021371717829e-25	7.94206227965201e-28	-2.94155106533806	119.548719206438	545.105700576671	H2AC19	H2A clustered histone 19
4790	1.63906055385865e-24	1.91103034630059e-27	-2.61037771988846	117.807048245153	2290.38594721701	NFKB1	nuclear factor kappa B subunit 1
8336	1.89060208180544e-24	2.43634288892453e-27	-3.55231567003618	117.325367338768	249.716729434897	H2AC17	H2A clustered histone 17
55323	1.89060208180544e-24	2.41521293146928e-27	-2.45507449392907	117.34264379684	1163.18585834596	LARP6	La ribonucleoprotein 6, translational regulator
8817	2.48899270050954e-24	3.44312483244026e-27	-4.00283964025423	116.63937253682	144.905983314891	FGF18	fibroblast growth factor 18
153222	2.48899270050954e-24	3.51293766026751e-27	-3.33789221275406	116.599561916415	779.55747006259	CREBRF	CREB3 regulatory factor
55279	2.82655075041927e-24	4.16281406541866e-27	-3.03119158712007	116.262928175406	1149.42834243842	ZNF654	zinc finger protein 654
285958	2.40029920860456e-23	3.68234414673012e-26	-2.08069767050997	111.940293214969	4224.03515667657	SNHG15	small nucleolar RNA host gene 15
4508	3.26434563110167e-23	5.20820976979894e-26	2.05118253555866	111.252973191331	44785.9992280272	ATP6	ATP synthase F0 subunit 6
1942	3.43402527530773e-23	5.68965896129778e-26	-2.50597161767219	111.077694505764	438.278359281848	EFNA1	ephrin A1
333932	1.00711345158806e-22	1.73043548382828e-25	-3.16560251842588	108.872779505926	538.80682101583	H3C15	H3 clustered histone 15
85235	1.43378117664204e-22	2.55152516707284e-25	-3.75820033284308	108.103112520998	235.303823969214	H2AC12	H2A clustered histone 12
3097	1.74398840591042e-22	3.21058248510755e-25	-2.31225170670386	107.647736783756	1483.40179452112	HIVEP2	HIVEP zinc finger 2
124739	1.75437386204581e-22	3.33735823045043e-25	-2.49863850508133	107.570983037314	361.710660731303	USP43	ubiquitin specific peptidase 43
11067	2.120749671574e-22	4.1644568906706e-25	3.48237331316271	107.132185050971	273.461809891825	DEPP1	DEPP autophagy regulator 1
22889	3.59319858457627e-22	7.4074779390625e-25	-2.57776038302706	105.99089480887	2662.47274343861	KHDC4	KH domain containing 4, pre-mRNA splicing factor
4514	3.59319858457627e-22	7.49685517155089e-25	1.97269485283447	105.967127825034	40227.1910150775	COX3	cytochrome c oxidase subunit III
126961	4.89074835205671e-22	1.05041846049328e-24	-3.13832024303543	105.298760437349	550.01525015784	H3C14	H3 clustered histone 14
101928156	7.72991466740255e-22	1.70763946997111e-24	-3.29243723304898	104.335932076001	192.009525279503	LOC101928156	uncharacterized LOC101928156
126295	8.24376709947545e-22	1.87174387997418e-24	-2.54623519824324	104.154127008448	510.7986506697	ZNF57	zinc finger protein 57
441951	9.06630935853775e-22	2.11413693927611e-24	-2.19707997726241	103.912851416941	3946.29420126795	ZFAS1	ZNFX1 antisense RNA 1
162989	1.02564043521665e-21	2.45458867043749e-24	-2.236849255006	103.617024800319	1359.98247231197	DEDD2	death effector domain containing 2
148479	6.9127759167774e-21	1.73922319948376e-23	-2.46740921096554	99.7383312795965	2414.72921158498	PHF13	PHD finger protein 13
10766	6.9127759167774e-21	1.73650946190171e-23	-2.33555020407078	99.741423933989	7151.87063646678	TOB2	transducer of ERBB2, 2
10725	7.21293998069186e-21	1.85900514966285e-23	-2.41757549531255	99.6064235743064	2460.47223669054	NFAT5	nuclear factor of activated T cells 5
100499177	1.50763468933187e-20	3.97817204475149e-23	-2.46445304743309	98.09980906944	2657.47324169797	THAP9-AS1	THAP9 antisense RNA 1
23642	5.92111236161602e-20	1.5987294054437e-22	-2.01472206306838	95.3457801427427	7854.2767633178	SNHG1	small nucleolar RNA host gene 1
84981	7.4278391866034e-20	2.05113379600609e-22	-3.27609034056907	94.8524964044613	255.013860528386	MIR22HG	MIR22 host gene
51646	7.61803948664299e-20	2.15040388061842e-22	-2.47670277521278	94.7589375257187	905.665181532912	YPEL5	yippee like 5
3157	9.00313865248439e-20	2.59663424562326e-22	2.02327709503148	94.3856840964758	1627.22389530981	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1
3725	3.32989646010818e-19	1.00125752666483e-21	1.85508480133264	91.7145545677225	76530.8383785461	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
81572	3.32989646010818e-19	9.86356904208723e-22	-2.14793952162906	91.7442253137831	2882.48532455198	PDRG1	p53 and DNA damage regulated 1
3576	3.60585642960822e-19	1.12848967789653e-21	-3.22186647137084	91.4778384710072	618.958100296119	CXCL8	C-X-C motif chemokine ligand 8
50854	3.60585642960822e-19	1.12001991399759e-21	-1.90261431481254	91.492746309568	1819.95286631954	SNHG32	small nucleolar RNA host gene 32
10957	9.49857017499094e-19	3.03096250061076e-21	-2.29534900016847	89.5229866856321	2991.20059666572	PNRC1	proline rich nuclear receptor coactivator 1
8329	1.04418205993802e-18	3.4601025550229e-21	-3.85186829782711	89.2610190571606	129.301606732349	H2AC13	H2A clustered histone 13
5926	1.04418205993802e-18	3.42100891078758e-21	-2.44728396691336	89.2834980397575	1651.81502806856	ARID4A	AT-rich interaction domain 4A
4297	1.2916714206248e-18	4.3594703077052e-21	-1.95275357277402	88.8039389257704	6196.4399576786	KMT2A	lysine methyltransferase 2A
3017	1.36312796475709e-18	4.68428853868417e-21	-2.6651696105326	88.6617798310656	268.729378041145	H2BC5	H2B clustered histone 5
79142	1.9382481644444e-18	6.77958673130405e-21	-2.24463192221472	87.9304802390962	3119.87226688934	PHF23	PHD finger protein 23
163859	3.07402822225551e-18	1.0940944826388e-20	-2.28100688306927	86.9838774801838	5864.17297743194	SDE2	SDE2 telomere maintenance homolog
4509	3.17075601727124e-18	1.14797867586526e-20	2.02709658619896	86.888796029902	9894.03141430003	ATP8	ATP synthase F0 subunit 8
8682	3.335296125466e-18	1.22801771924374e-20	-2.13768434532527	86.7555007400459	3080.19810140761	PEA15	proliferation and apoptosis adaptor protein 15
8639	3.4014769779912e-18	1.2732578280404e-20	-3.05307221706943	86.6839526230451	231.212785891952	AOC3	amine oxidase copper containing 3
8357	3.76706190783506e-18	1.43322188442424e-20	-3.13507844746307	86.4499048701901	202.442686866066	H3C10	H3 clustered histone 10
2624	5.24566054795921e-18	2.02796155204609e-20	-2.11819152469603	85.7634890565001	3873.19492560615	GATA2	GATA binding protein 2
2619	6.66149545790534e-18	2.61619851071393e-20	1.75277665537534	85.259865901456	2673.04660527815	GAS1	growth arrest specific 1
388796	6.88578951664091e-18	2.74654098295078e-20	-2.13077825413754	85.1637291004916	3477.61109148382	SNHG17	small nucleolar RNA host gene 17
55602	9.98383933616625e-18	4.04352844984642e-20	-2.13714012450107	84.3989971958965	749.997786048453	CDKN2AIP	CDKN2A interacting protein
148423	1.77553914108052e-17	7.30001978721125e-20	-2.11862907099218	83.2310986629817	3087.52489938208	C1orf52	chromosome 1 open reading frame 52
51742	2.02989472414435e-17	8.47035108258563e-20	-2.2589219360917	82.9371661906048	3590.96634663371	ARID4B	AT-rich interaction domain 4B
71	2.35960631146158e-17	9.99096928638004e-20	1.685070390072	82.6107997705988	42352.4750789795	ACTG1	actin gamma 1
60436	5.01477966479146e-17	2.15411497628499e-19	-2.13561547371455	81.0923567288957	2709.58683711311	TGIF2	TGFB induced factor homeobox 2
57523	5.96186475102794e-17	2.6341081374203e-19	3.22465458339056	80.694826960842	239.423289274859	NYNRIN	NYN domain and retroviral integrase containing
4519	5.96186475102794e-17	2.6244823131023e-19	1.6255016743608	80.702061397292	41399.7243037772	CYTB	cytochrome b
3371	6.4589853478327e-17	2.89338445257601e-19	-2.28654338068053	80.5093102374761	695.105486573368	TNC	tenascin C
8338	1.02376872900542e-16	4.64892525444287e-19	-2.70089829954387	79.5723226696923	266.55219743914	H2AC20	H2A clustered histone 20
