GeneID	padj	pvalue	log2FoldChange	stat	baseMean	Symbol	Description
5971	3.83147903325837e-141	2.29347481938128e-145	3.97315862486105	672.151410688018	988.679904286646	RELB	RELB proto-oncogene, NF-kB subunit
440689	3.78261185829328e-117	4.52844709480819e-121	4.50045752462545	560.084901401756	316.895863816273	H2BC18	H2B clustered histone 18
57035	8.41320977644928e-108	1.5108122428677e-111	2.50988300062943	516.147268902864	2073.79759427899	RSRP1	arginine and serine rich protein 1
4792	1.08598834556331e-107	2.60023547363416e-111	3.9208706309326	515.059257684154	4585.5830032777	NFKBIA	NFKB inhibitor alpha
8349	8.80933840389659e-105	2.6365791942705e-108	4.21924521397298	501.188794249261	427.170309145814	H2BC21	H2B clustered histone 21
5016	6.68978731106434e-95	2.80309536558424e-98	3.15774657738899	454.918146428	474.083832163005	OVGP1	oviductal glycoprotein 1
8358	6.68978731106434e-95	2.64059385962961e-98	5.96348271328637	455.037849286156	327.995229332979	H3C2	H3 clustered histone 2
3008	1.84568147968861e-93	8.83841244912539e-97	4.00332737394707	448.000955578609	554.741560428116	H1-4	H1.4 linker histone, cluster member
7128	1.02021384590997e-88	5.4961837742067e-92	4.36442677349591	425.874791594057	2180.87162149431	TNFAIP3	TNF alpha induced protein 3
3725	5.98100070394346e-87	3.58015126537978e-90	2.48090377516875	417.501986534501	60106.1576264747	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
333932	2.62488127930507e-83	1.72834275543851e-86	4.90035357180006	400.496407308986	420.35547315628	H3C15	H3 clustered histone 15
8969	4.07870525999475e-83	2.92975356877391e-86	3.5615258942931	399.43826424712	235.446099945696	H2AC11	H2A clustered histone 11
126961	2.88839324793311e-81	2.24764229756557e-84	4.83306346229599	390.736080704685	431.213740853188	H3C14	H3 clustered histone 14
8337	4.73950435464654e-81	3.97181018586445e-84	3.17651113203979	389.594489353791	392.163992292812	H2AC18	H2A clustered histone 18
29946	5.70090866739248e-79	5.11873757996452e-82	1.2741991201825	379.851582042868	924.05241191361	SERTAD3	SERTA domain containing 3
8970	3.01139103597647e-77	2.88412885045035e-80	2.54793365868414	371.767212438151	235.281447873943	H2BC11	H2B clustered histone 11
723790	3.56239731886685e-76	3.83833064405623e-79	3.23052585757798	366.576427670244	382.026214449729	H2AC19	H2A clustered histone 19
4514	3.56239731886685e-76	3.7709445754436e-79	-1.97955065009206	366.61194808567	49704.2855315626	COX3	cytochrome c oxidase subunit III
27113	6.89074476985465e-73	7.83695382660351e-76	1.74892310850658	351.290934925621	715.583790258626	BBC3	BCL2 binding component 3
3576	1.06081394490532e-72	1.26997958207269e-75	7.69784206770185	350.322719157732	443.422388961378	CXCL8	C-X-C motif chemokine ligand 8
128312	3.11611335006267e-71	3.91705856287059e-74	4.13276686180292	343.445154603056	193.597294243321	H2BC26	H2B clustered histone 26
285958	4.13024255336619e-71	5.43908393236299e-74	1.83669922235593	342.786707376383	3196.35248093668	SNHG15	small nucleolar RNA host gene 15
4508	4.57731644317814e-68	6.3018243860348e-71	-1.8837833069841	328.634827580046	51751.3476704245	ATP6	ATP synthase F0 subunit 6
653604	9.85081210081233e-66	1.41517712450315e-68	3.5334584959582	317.77308245023	161.000417993912	H3C13	H3 clustered histone 13
8348	1.01327128270514e-65	1.51632838905954e-68	4.04083699024026	317.634574845285	125.800311387022	H2BC17	H2B clustered histone 17
10766	3.56148287061449e-65	5.54283219418034e-68	1.39606999152091	315.033977814987	4825.98102119736	TOB2	transducer of ERBB2, 2
23645	4.55690527754861e-65	7.36480560839295e-68	3.78168544446122	314.463763451168	8756.8996962169	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
441951	1.32952193130378e-64	2.22833796698825e-67	1.30267319284706	312.242462551502	2801.60561522052	ZFAS1	ZNFX1 antisense RNA 1
153222	7.93815630912409e-61	1.37798714811803e-63	1.57868157019118	294.725688140292	483.654999035462	CREBRF	CREB3 regulatory factor
8336	1.75162135264576e-60	3.14549506640566e-63	3.33523244125733	293.069395587605	164.142448675907	H2AC17	H2A clustered histone 17
4790	4.92392543492022e-60	9.13693813495311e-63	2.04476509625898	290.9294084228	1739.10128751934	NFKB1	nuclear factor kappa B subunit 1
4519	1.47638512130162e-59	2.82798538738488e-62	-1.47042216782858	288.661988949583	45700.9183993587	CYTB	cytochrome b
10957	5.53878158860358e-58	1.09409668636369e-60	1.46359524467865	281.325353822472	2045.94450406122	PNRC1	proline rich nuclear receptor coactivator 1
929	2.37964574388483e-57	4.8430477248943e-60	2.97671055822345	278.339528854784	117.708492599076	CD14	CD14 molecule
22889	4.13404733844451e-57	8.66105931076008e-60	0.805629998548432	277.172772484938	1778.95095088155	KHDC4	KH domain containing 4, pre-mRNA splicing factor
388796	7.18075285824529e-57	1.54739077515163e-59	2.03171670044348	276.007954865364	2566.25427888078	SNHG17	small nucleolar RNA host gene 17
81572	3.85957687680656e-55	8.54808718076395e-58	1.722530801702	267.95511509162	2145.70326612294	PDRG1	p53 and DNA damage regulated 1
26780	4.596317900819e-54	1.04549311762913e-56	1.44197140735661	262.928415914529	139.706628450481	SNORA68	small nucleolar RNA, H/ACA box 68
100499177	8.94570269820314e-54	2.08836588788413e-56	1.61339119074745	261.539372419869	1829.09649491766	THAP9-AS1	THAP9 antisense RNA 1
163859	9.75315290195675e-54	2.33524551704938e-56	1.62752029050314	261.315050556444	4144.91806204933	SDE2	SDE2 telomere maintenance homolog
3097	3.02296417191447e-53	7.41898306288118e-56	1.22158595587746	258.994347902737	1088.07963496555	HIVEP2	HIVEP zinc finger 2
23642	3.33251452060265e-53	8.37816412458467e-56	1.55271955825682	258.750238496508	5919.28309496567	SNHG1	small nucleolar RNA host gene 1
